variable,en,nl,note
PSIS2,How can you make sure that only Dutch sources are shown? Click on the spot in the image where you can indicate this.,Hoe zorg je ervoor dat je alleen Nederlandse bronnen te zien krijgt? Klik op de plaats in de afbeelding op de plek waar je dit kunt aangeven.,
PCIS1,Recognize fake news on social media,Herkennen nepnieuws op sociale media,
PCIS2,Recognize advertisement on social media,Herkennen reclame op sociale media,
PCIS3,What do you need to look at to check whether a post on social media is fake news or not?,Waar moet je naar kijken om te controleren of een bericht op sociale media geen nepnieuws is?,
PNS1,"Imagine, you find this picture of your friend/acquaintance on social media. For which picture, or pictures, would you ask permission from this friend/acquaintance to share it with others online? (multiple answers are possible)","Stel, je komt deze foto's tegen van een vriendin of kennis op sociale media. Bij welke foto, of foto's, zou je toestemming vragen aan deze vriendin of kennis om deze foto met anderen online te delen? (meerdere antwoorden zijn mogelijk)",
PDCCS1,Which of the following icons refer to the function for cutting or removing parts of  a picture ('cropping')?,"Welk van onderstaande icoontjes is voor het bijsnijden of stukken weghalen van een foto?
",
PSCS1,Read the following message closely. What type of message do you think this is?,Lees onderstaand bericht goed door. Wat voor soort bericht denk je dat dit is?,
PSCS2,Which of the following safety precautions do you sometimes take for your digital/online media use?,Welke van onderstaande veiligheidsmaatregelen gebruik je wel eens voor jouw digitale of online media gebruik?,
PDHWS1,Do you sometimes try to limit the time you spend using digital media in one of the following ways?,Probeer je wel eens om minder tijd bezig te zijn met digitale media op één van de volgende manieren?,
PSGDS1,Which of the following activities do you sometimes do?,Welke van de volgende activiteiten doe jij wel eens?,
,,,
PTS1,Below you see 4 icons that can appear on a website. Which of the icons should you click on to know whether you can shop safely on an online webshop (for example with safe storage of personal data and a safe payment environment)?,Hieronder zie je 4 icoontjes die je op een website tegen kan komen. Op welk van de icoontjes moet je klikken om te weten of je veilig kunt winkelen op een online webshop (bijvoorbeeld met veilige opslag van persoonsgegevens en een veilige betaalomgeving)?,
PAIS1,Look closely at the pictures below. Which picture is not made with artificial intelligence (AI)?,Kijk goed naar de foto's hieronder. Welke foto is niet gemaakt met artificiële intelligentie (AI)?,
PAIS2,Select all apps or websites that use AI to personalize their content for you:,Kies alle apps of websites die gebruik maken van AI om inhoud aan jou persoonlijk aan te passen:,
PGAIS1,"Let's say you want to cook for a friend, and you still have pasta and tomatoes at home. You want to ask ChatGPT to help you with a recipe. What question (or 'prompt') should you ask ChatGPT to get the best result?","Stel, je wil koken voor een vriend of vriendin, en hebt nog pasta en tomaten in huis. Je wil ChatGPT vragen om je te helpen met een recept. Welke vraag ('prompt') stel je aan ChatGPT om tot het beste resultaat te komen?",
PGAIS2,For what purpose have you used GenAI (such as ChatGPT)?,Waar heb je zelf wel eens genAI (zoals ChatGPT) voor gebruikt?,
KInfo1,The first search result is always the best information source. (False Statement),Het eerste zoekresultaat is altijd de beste informatiebron,
KInfo2,Everyone gets the same information when they search for the same things online. (False Statement),Iedereen krijgt dezelfde informatie als ze online naar dezelfde dingen zoeken,
KInfo3,Some people make money by spreading fake news on the internet. (Correct Statement),Sommige mensen verdienen geld aan het verspreiden van nepnieuws op het internet,
KCom1,"Before sharing a picture that clearly shows a friend, you should always ask them for permission first. (Correct Statement)","Voordat je een foto waarop een vriend duidelijk te zien is digitaal deelt, moet je altijd eerst om toestemming vragen",
KCom3,Negative comments hurt people less when you say them online than when you say them to their face. (False Statement),"Nare opmerkingen doen mensen minder pijn als je ze online zegt, dan als je ze in hun gezicht zegt",
KCrea1,"If you use a hashtag (#), more people will see your message. (Correct Statement)","Als je een hashtag (#) gebruikt, zien meer mensen je bericht",
KCrea2,Some people are paid to use products in the videos they make. (Correct Statement),Sommige mensen worden betaald om producten te gebruiken in de video's die ze maken,
KCrea3,"You can change and share existing videos, as long as you don't make money by doing it. (False Statement)","Je mag bestaande video's en muziek aanpassen en delen, zolang je er geen geld mee verdient",
KSafDev2,"To keep your devices safer, you should always install updates immediately. (Correct Statement)","Om je apparaten veiliger te houden, moet je updates altijd meteen installeren",
KSafDev_new,Logging into a computer or smartphone using a passkey (like a finger print) is safer compared to a using password. (Correct Statement),Op een computer of telefoon inloggen met een passkey (zoals een vingerafdruk of gezichtsherkenning) is veiliger dan met een wachtwoord,
KPriv1,It's best to have the same password for each account. (False Statement),Je kunt het beste voor elk account hetzelfde wachtwoord gebruiken,
KPriv2,What you do online is used by companies to advertise their products and services. (Correct Statement),Wat jij online doet gebruiken bedrijven om hun producten en diensten te adverteren,
KPriv3_V2,"If you use 'incognito mode' or 'private browsing', your internet behavior won't be stored. (Correct Statement)","Als je 'privé browsen' of 'incognito modus' gebruikt, wordt je internetgedrag niet opgeslagen",
KHealth1,You can keep your attention with two things at the same time (for example talking to someone or reading a text). (False Statement),Je kunt je aandacht bij twee dingen tegelijk houden (zoals met iemand praten of een tekst lezen),
KHealth2,Platforms like YouTube or Netflix are designed to keep people watching as long as possible. (Correct Statement),Platforms als YouTube of Netflix zijn ontworpen om mensen zo lang mogelijk te laten blijven kijken,
KHealth3,You sleep worse if you use a smartphone or computer just before you go to bed. (Correct Statement),Je slaapt slechter als je een smartphone of computer gebruikt vlak voor je naar bed gaat,
KEnv1,Your laptop charger continues to use power if you leave it in the power outlet after charging. (Correct Statement),De oplader van je laptop blijft stroom gebruiken als je hem in het stopcontact laat zitten na het opladen,
KEnv2,Phones contain materials that mineworkers extract from mines. (Correct Statement),In telefoons zitten stoffen die door mijnwerkers uit mijnen gehaald worden,
KEnv3,The amount of data and WiFi you use does not affect CO2-emissions or the climate. (False Statement),"De hoeveelheid digitale gegevens en WiFi die je verbruikt, heeft geen invloed op CO2-uitstoot of het klimaat",
Ktrans1,With DigID you can log in to websites by both the government and health providers. (Correct Statement),Met DigID kan je inloggen op websites van zowel de overheid als de zorg,
Ktrans2,"In case of a medical emergency, you make an online appointment with your healthcare provider. (False Statement)",Bij medische spoed maak je online een afspraak met je zorgverlener,
Ktrans3,A webshop is trustworthy when you can pay with iDeal. (False Statement),Een webshop is betrouwbaar als je er kunt betalen met iDeal,
KAI1,Some websites and apps for news and entertainment use artificial intelligence (AI). (Correct Statement),Sommige websites en apps voor nieuws en entertainment gebruiken artificiële intelligentie (AI),
KAI2,Websites and apps for news and entertainment show the same content to everyone. (False Statement),Websites en apps voor nieuws en entertainment laten aan iedereen hetzelfde zien,
KAI3,"Some decisions about the content of websites and apps for news and entertainment are automatic, without a human doing something. (Correct Statement)","Sommige beslissingen over de inhoud van websites en apps voor nieuws en entertainment gaan automatisch, zonder dat een mens iets doet",
KAI4,Your online behavior determines what is shown to you on websites and apps for news and entertainment. (Correct Statement),Je online gedrag bepaalt wat je te zien krijgt op websites en apps voor nieuws en entertainment,
KGAI1,"Because GenAI, such as ChatGPT, searches through many websites on the internet, the information it gives is reliable. (False Statement)","Omdat GenAI, zoals ChatGPT, veel websites van het internet doorzoekt, is de informatie die het geeft betrouwbaar",
KGAI2,"The usage of GenAI, such as ChatGPT, has almost no impact on the environment. (False Statement)","Het gebruik van GenAI, zoals ChatGPT, heeft bijna geen invloed op het milieu",
KGAI3,"Someone else can also get access to the information you give to GenAI, such as ChatGPT. (Correct Statement)","Iemand anders kan ook toegang krijgen tot de informatie die je aan GenAI, zoals ChatGPT, geeft",
KGAI4,"People can use genAI to create images, videos or audio-fragments of events or people who do not really exist or that have not actually taken place (for example 'deepfakes'). (Correct Statement)","Mensen kunnen genAI gebruiken om afbeeldingen, video's of audiofragmenten te maken van gebeurtenissen of mensen die niet echt bestaan of die niet echt hebben plaatsgevonden (bijvoorbeeld 'deepfakes')",
KGAI5,"GenAI, such as ChatGPT, can produce different results when asked the same question multiple times. (Correct Statement)","GenAI, zoals ChatGPT, kan verschillende resultaten geven wanneer je dezelfde vraag meerdere keren stelt",
scale_completely_untrue,(Completely) Untrue (1-2),Helemaal Onwaar (1-2),
scale_slightly_untrue,Slightly untrue for me,Een beetje onwaar voor mij,
scale_neither,Not true and not untrue (3),Niet onwaar en niet waar (3),
scale_slightly_true,Slightly true for me,Een beetje waar voor mij,
scale_completely_true,(Completely) True (4-5),Helemaal Waar (4-5),
scale_dont_understand,I don't understand the question,Ik begrijp de vraag niet,
scale_prefer_not_answer,I'd rather not answer,Zeg ik liever niet,
scale_true,True,Waar,
scale_untrue,Untrue,Onwaar,
scale_dont_know,I don't know,Ik weet het niet,
label_correct,Correct,Correct,
label_incorrect,Incorrect,Incorrect,
label_correctly_answered,Correctly Answered,Correct beantwoord,
label_incorrectly_answered,Incorrectly Answered,Incorrect beantwoord,
label_dont_know,I don't Know,Weet ik niet,
label_selected,Selected,Geselecteerd,
label_not_selected,Not selected,Niet geselecteerd,
strategic_info_description,"**Strategic Information Competence** is the ability to effectively search for and locate information online. This includes choosing good keywords, using search functions, and finding answers to questions on the internet.","**Strategische Informatie competentie** omvat het vermogen om effectief te zoeken naar, of het vinden van, online informatie. Dit omvat het kiezen van goede zoekwoorden, het gebruiken van zoekfuncties en het vinden van antwoorden op vragen op internet.",
critical_info_description,"**Critical Information Competence** is the ability to evaluate online information: checking whether information is true, assessing website reliability, and understanding the purpose of online content (to inform, influence, entertain, or sell).","**Kritische Informatie competentie** omvat het vermogen om online informatie te evalueren: controleren of informatie waar is, betrouwbaarheid van websites beoordelen, en begrijpen wat het doel is van online content (informeren, beïnvloeden, vermaken, of verkopen).",
netiquette_description,"**Netiquette Competence** refers to proper online communication etiquette: knowing when to ask permission before sharing, choosing the right communication tool, understanding what not to share online, and using emoticons appropriately.","**Netiquette competentie** verwijst naar correcte online communicatie-etiquette: weten wanneer je toestemming moet vragen voor delen, de juiste communicatietool kiezen, begrijpen wat je niet online moet delen, en emoticons op de juiste manier gebruiken.",
content_creation_description,"**Digital Content Creation Competence** cover the ability to create and modify digital content: making presentations, combining different media, editing images/music/video, and understanding copyright rules around digital content.","**Digitale Contentcreatie competentie** omvat het vermogen om digitale content te maken en aan te passen: presentaties maken, verschillende media combineren, beelden/muziek/video bewerken, en auteursrechten begrijpen rond digitale content.",
safety_description,"**Safety & Control of Information and Devices Competence** encompasses protecting devices and personal information: using security measures, managing privacy settings, identifying phishing, and controlling what information is shared online.","**Veiligheid & Controle van Informatie en Apparaten competentie** omvat het beschermen van apparaten en persoonlijke informatie: beveiligingsmaatregelen gebruiken, privacy-instellingen beheren, phishing herkennen, en controleren welke informatie online gedeeld wordt.",
health_description,"**Digital Health & Wellbeing Competence**  relates to managing healthy digital habits: controlling screen time, minimizing distractions, taking digital breaks, and understanding how technology affects sleep and wellbeing.","**Digitale Gezondheid & Welzijn competentie** heeft betrekking op het beheren van gezonde digitale gewoonten: schermtijd controleren, afleidingen minimaliseren, digitale pauzes nemen, en begrijpen hoe technologie slaap en welzijn beïnvloedt.",
green_description,"**Sustainable/Green Digital Competence** focuses on environmentally conscious technology use: reducing energy consumption, buying sustainable devices, recycling electronics, and understanding the environmental impact of digital activities.","**Duurzame/Groene Digitale competentie** richt zich op milieubewust technologiegebruik: energieverbruik verminderen, duurzame apparaten kopen, elektronica recyclen, en de milieu-impact van digitale activiteiten begrijpen.",
problem_solving_description,**Digital Problem Solving Competence** involves knowing where to find help with digital challenges and understanding how to improve digital competencies.,**Digitale Problemen Oplossen competentie** heeft betrekking op weten waar je hulp kunt vinden bij digitale uitdagingen en begrijpen hoe je digitale competenties kunt verbeteren.,
transactional_description,"**Transactional Competence** covers the ability to handle official online matters: managing government services, digital payments, healthcare arrangements, and document uploads.","**Transactionele competentie** omvat het vermogen om officiële online zaken af te handelen: overheidsdiensten beheren, digitale betalingen, gezondheidszorgafspraken, en documenten uploaden.",
ai_description,**AI Competence** covers the ability to recognize when websites and apps use artificial intelligence to personalize content and recommendations.,**AI competentie** omvat het vermogen om te herkennen wanneer websites en apps artificiële intelligentie gebruiken om content en aanbevelingen te personaliseren.,
genai_description,"**Generative AI competence** covers the ability to engage with AI tools like ChatGPT: knowing how to verify AI-generated information, writing effective prompts, detecting AI-generated content, and understanding GenAI's capabilities and limitations.","**Generatieve AI competentie** heeft betrekking op het omgaan met AI-tools zoals ChatGPT: weten hoe je AI-gegenereerde informatie te verifiëert, effectieve prompts schrijven, AI-gegenereerde content detecteren, en de mogelijkheden en beperkingen van GenAI begrijpen.",
blockquote_skills,"Think about the extent to which each sentence applies to you, if you would have to do this activity now and without help. Please be honest. It is very normal that you never do some things. We'd like to know this. If you don't understand what the question means, please choose 'I don't understand the question.' Do you recognize yourself in the following statements?","Bedenk in hoeverre elke zin klopt of waar is voor jou persoonlijk, als je de activiteit nu en in je eentje zou moeten doen. Wees vooral eerlijk, het is heel normaal dat je sommige dingen nooit doet. Dat willen we juist weten! Als je niet begrijpt wat de vraag inhoudt, kruis dan aan 'Ik begrijp de vraag niet'.",
blockquote_knowledge,"The following statements are about the internet. Please indicate if the sentence is true or untrue, according to you. If you don't know, please choose 'I don't know'. You don't have to guess. If you don't understand the question, please choose 'I don't understand the question.' Nearly everyone will not know or understand questions. This is normal and something that we want to know.","Nu volgen een aantal uitspraken die gaan over het online media en digitale technologie. Geef aan of de zin volgens jou feitelijk wel waar of juist niet waar is (dus in het algemeen, niet voor jou persoonlijk). Als je het niet weet, kruis dan aan 'ik weet het niet'. Je hoeft dus niet te gokken.",
blockquote_performance,Who do you ask for help if you aren’t able to do something with online media or digital technology? (you can choose multiple answers),Wie vraag je om hulp als je met online media of digitale technologie niets kunt? (meerdere antwoorden mogelijk),
ai_introduction,"With artificial intelligence computer programs can perform tasks and learn on their own. AI is increasingly used in society, and in online media too: many websites use it to show you content and advertisements about things you like. It also concerns 'generative AI' (genAI), a form of AI which creates content (such as texts, images), based on 'prompts' (questions or requests) from users. An example of this is the chatbot 'ChatGPT'.","Met artificiële intelligentie, of kunstmatige intelligentie, kunnen computerprogramma's zelf taken uitvoeren en ook zelf leren. AI wordt steeds meer gebruikt in de samenleving, en ook in de online media: veel websites gebruiken het om je meer inhoud en advertenties te laten zien van wat je leuk vindt. Hierbij hoort ook 'generatieve AI' (genAI), een vorm van AI die bijvoorbeeld teksten en foto's maakt wanneer je hier om vraagt (zulke vragen noemen we ook wel 'prompts'). Een voorbeeld hiervan is de chatbot 'ChatGPT'.",
tab_wave1,Wave 1,Ronde 1,
tab_wave2,Wave 2,Ronde 2,
tab_age,Age,Leeftijd,
tab_gender,Gender,Geslacht,
tab_education,Education,Opleidingsniveau,
tab_migration,Migration Background,Migratieachtergrond,
tab_overtime,Over Time,Verloop over tijd,
tab_overall,Overall,Algemeen,
tab_question_1,Question 1,Vraag 1,
tab_question_2,Question 2,Vraag 2,
tab_question_3,Question 3,Vraag 3,
tab_question_4,Question 4,Vraag 4,
tab_question_5,Question 5,Vraag 5,
tab_question_6,Question 6,Vraag 6,
tab_question_7,Question 7,Vraag 7,
tab_question_8,Question 8,Vraag 8,
tab_question_9,Question 9,Vraag 9,
dimension_strategic_info,Strategic Information,Strategische Informatie,
dimension_critical_info,Critical Information,Kritische Informatie,
dimension_netiquette,Netiquette,Netiquette,
dimension_content_creation,Digital Content Creation,Digitale Contentcreatie,
dimension_safety,Safety,Veiligheid,
dimension_health,Digital Health,Digitale Gezondheid,
dimension_green,Green Digital,Groen Digitaal,
dimension_problem_solving,Digital Problem Solving,Digitale Problemen Oplossen,
dimension_transactional,Transactional,Transactioneel,
dimension_ai,AI,AI,
dimension_genai,Gen AI,Gen AI,
dimension_knowledge,Knowledge,Kennis,
dimension_skills,Skills,Vaardigheden,
dimension_performance,Performance,Prestaties,
dashboard_title,Welcome to the DigIQ Monitor,Welkom bij de DigIQ Monitor,
mockup_warning,**THIS IS A MOCKUP VERSION PLEASE DO NOT CITE**,**DIT IS EEN MOCKUP VERSIE GELIEVE NIET TE CITEREN**,
key_findings_title,Key Findings,Belangrijkste Bevindingen,
key_finding_intro,"Based on data from **2,417** Dutch people aged between **10 and 94**, we drew the following conclusions:",Op basis van gegevens van **2.417** Nederlanders tussen **10 en 94 jaar** trekken we de volgende conclusies:,
key_finding_1,"1. {{< iconify ph device-mobile-camera-fill >}} **People generally feel digitally skilled, and this largely corresponds with their knowledge, but not always with their performance.**
   For some skills, such as online health and well-being, or netiquette, there are discrepancies between people's high scores on trust in their own skills and low scores on performance and behavior.
   These findings may indicate that Dutch people have blind spots regarding (some) digital skills and are unaware of what is possible online and where they actually lack skills.","1. {{< iconify ph device-mobile-camera-fill >}} **Mensen voelen zich over het algemeen digitaal vaardig, en dit komt grotendeels overeen met hun kennis, maar niet altijd met hun prestaties.**
   Voor sommige vaardigheden, zoals online gezondheid en welzijn, of netiquette, zijn er discrepanties tussen de hoge scores van mensen op vertrouwen in hun eigen vaardigheden en lage scores op prestaties en gedrag.
   Deze bevindingen kunnen erop wijzen dat Nederlanders blinde vlekken hebben met betrekking tot (sommige) digitale vaardigheden en zich niet bewust zijn van wat online mogelijk is en waar ze daadwerkelijk vaardigheden missen.",
key_finding_2,"2. {{< iconify ph sparkles-fill >}} **Skills and knowledge in the field of (gen)AI are low.**
   Children, the elderly, and low-educated Dutch people score low on knowledge about the privacy, validity, and reliability of genAI and the personalization of news and entertainment by AI, and are not well-equipped to create prompts that leverage the benefits of genAI.
   People perform poorly in recognizing and using genAI, and, aside from social media, don't always know which apps or websites use AI to tailor content to them.","2. {{< iconify ph sparkles-fill >}} **Vaardigheden en kennis op het gebied van (gen)AI zijn laag.**
   Kinderen, ouderen en laagopgeleide Nederlanders scoren laag op kennis over de privacy, validiteit en betrouwbaarheid van genAI en de personalisatie van nieuws en entertainment door AI, en zijn niet goed uitgerust om prompts te maken die de voordelen van genAI benutten.
   Mensen presteren slecht in het herkennen en gebruiken van genAI en weten, naast sociale media, niet altijd welke apps of websites AI gebruiken om content op hen af te stemmen.",
key_finding_3,"3. {{< iconify ph users-three-fill >}} **Differences among Dutch people can be distinguished based on age and education level, not on migration background.**
   Children (10–14 years old), the elderly (66+), and the less educated score lower on digital skills and knowledge.","3. {{< iconify ph users-three-fill >}} **Verschillen tussen Nederlanders kunnen worden onderscheiden op basis van leeftijd en opleidingsniveau, niet op migratieachtergrond.**
   Kinderen (10-14 jaar), ouderen (66+) en lager opgeleiden scoren lager op digitale vaardigheden en kennis.",
link_see_all_strategic,See all Strategic Information results,Bekijk alle Strategische Informatie resultaten,
link_see_all_critical,See all Critical Information results,Bekijk alle Kritische Informatie resultaten,
link_see_all_netiquette,See all Netiquette results,Bekijk alle Netiquette resultaten,
link_see_all_content_creation,See all Digital Content Creation results,Bekijk alle Digitale Contentcreatie resultaten,
link_see_all_safety,See all Safety results,Bekijk alle Veiligheid resultaten,
link_see_all_health,See all Digital Health results,Bekijk alle Digitale Gezondheid resultaten,
link_see_all_green,See all Green Digital results,Bekijk alle Groen Digitaal resultaten,
link_see_all_problem_solving,See all Digital Problem Solving results,Bekijk alle Digitale Problemen Oplossen resultaten,
link_see_all_transactional,See all Transactional results,Bekijk alle Transactionele resultaten,
link_see_all_ai,See all AI results,Bekijk alle AI resultaten,
link_see_all_genai,See all Gen AI results,Bekijk alle Gen AI resultaten,
link_see_all_performance,See all Performance results,Bekijk alle Prestatieresultaten,
link_see_all_knowledge,See all Knowledge results,Bekijk alle Kennisresultaten,
link_see_all_skills,See all Skills results,Bekijk alle Vaardigheden-resultaten,
knowledge_overtime_title,Knowledge Scores Over Time,Kennisscores over tijd,
landing_page_text,"Welcome to the DigIQ Monitor, providing recent insights into the digital competence of Dutch citizens aged 10–100!

<div style=""text-align: center;"">
  <img 
    src=""https://raw.githubusercontent.com/favstats/digicomp/refs/heads/main/img/cover.png"" 
    alt=""Digital competence cover""
    style=""width: 75%; max-width: 100%; height: auto;""
  >
</div>

This dashboard aggregates data collected using the **DigIQ** to show how confident citizens are in their own digital competence, the knowledge they have about digital media and technology use, and   how they perform in this area.  

The monitor is divided into three main pages:  
[{{< iconify ph lightning-fill >}} Skills](skills.html), [{{< iconify ph book-open-fill >}} Knowledge](knowledge.html), and [{{< iconify ph clipboard-text >}} Performance](performance.html).

{{< iconify ph cursor-click-fill >}} Click on the hyperlinks above for quick navigation. Under **Dimensions** you can find a description of the 11 domains of digital competence.

For background information on the project and detailed wave reports, see the **More Info** menu in the top-right corner.
","Welkom bij de DigIQ Monitor, met recente inzichten in de digitale competentie van Nederlandse burgers van 10 tot 100 jaar!

<div style=""text-align: center;"">
  <img 
    src=""https://raw.githubusercontent.com/favstats/digicomp/refs/heads/main/img/cover.png"" 
    alt=""Digitale competentie cover""
    style=""width: 75%; max-width: 100%; height: auto;""
  >
</div>

Dit dashboard verzamelt gegevens die met behulp van de **DigIQ** zijn verzameld om te laten zien hoe zelfverzekerd burgers zijn over hun eigen digitale competentie, hoeveel kennis ze hebben over het gebruik van digitale media en technologie, en hoe ze op dit gebied presteren.  

De monitor is verdeeld in drie hoofdpagina's:  
[{{< iconify ph lightning-fill >}} Vaardigheden](skills.html), [{{< iconify ph book-open-fill >}} Kennis](knowledge.html), en [{{< iconify ph clipboard-text >}} Prestaties](performance.html).

{{< iconify ph cursor-click-fill >}} Klik op de hyperlinks hierboven voor snelle navigatie. Onder **Dimensies** vindt u een beschrijving van de 11 domeinen van digitale competentie.

Voor achtergrondinformatie over het project en gedetailleerde ronde-rapportages, zie het **Meer informatie** menu rechtsboven.

",
